onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.044	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6323941	(2,5.5)(8,4)(5.5,1)(1,1)(5,6)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	1	items_screen	right	underconstrained
3.081	22.02	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6323941	(2,5.5)(8,4)(5.5,1)(1,1)(5,6)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	11	decision_screen	right	underconstrained
25.101	2.02	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6323941	(2,5.5)(8,4)(5.5,1)(1,1)(5,6)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	2	response_screen	right	underconstrained
25.731	0	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6323941	(2,5.5)(8,4)(5.5,1)(1,1)(5,6)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	21	button_press	right	underconstrained
27.121	10.029	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6323941	(2,5.5)(8,4)(5.5,1)(1,1)(5,6)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	3	inter_trial_screen	right	underconstrained
37.15	3.003	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.5914233	(8,5)(0.5,2.5)(0,5.5)(7,1.5)(5,6)(2.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	1	items_screen	right	underconstrained
40.153	22.019	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.5914233	(8,5)(0.5,2.5)(0,5.5)(7,1.5)(5,6)(2.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	11	decision_screen	right	underconstrained
62.172	2.018	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.5914233	(8,5)(0.5,2.5)(0,5.5)(7,1.5)(5,6)(2.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	2	response_screen	right	underconstrained
62.762	0	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.5914233	(8,5)(0.5,2.5)(0,5.5)(7,1.5)(5,6)(2.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	21	button_press	right	underconstrained
64.19	12.035	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.5914233	(8,5)(0.5,2.5)(0,5.5)(7,1.5)(5,6)(2.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	3	inter_trial_screen	right	underconstrained
