onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.003	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.5112698	(1,5.5)(8,4)(1.5,3.5)(3.5,6)(4,0.5)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	center	1	items_screen	left	underconstrained
3.04	22.019	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.5112698	(1,5.5)(8,4)(1.5,3.5)(3.5,6)(4,0.5)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	center	11	decision_screen	left	underconstrained
25.059	2.017	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.5112698	(1,5.5)(8,4)(1.5,3.5)(3.5,6)(4,0.5)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	center	2	response_screen	left	underconstrained
25.569	0	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.5112698	(1,5.5)(8,4)(1.5,3.5)(3.5,6)(4,0.5)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	center	21	button_press	left	underconstrained
27.076	8.035	1	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.5112698	(1,5.5)(8,4)(1.5,3.5)(3.5,6)(4,0.5)(8,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	center	3	inter_trial_screen	left	underconstrained
35.111	3.001	2	80-0.45-0.64	49442213540	332824271311	122	61	25	no	incorrect	0.8092259	(0,3)(8,2.5)(0,6)(5,6)(7.5,5.5)(4.5,0.5)	NA	4	yes	high	226	5	191	136	1	0.01047120418848167	center	1	items_screen	right	phase_transition
38.112	22.019	2	80-0.45-0.64	49442213540	332824271311	122	61	25	no	incorrect	0.8092259	(0,3)(8,2.5)(0,6)(5,6)(7.5,5.5)(4.5,0.5)	NA	4	yes	high	226	5	191	136	1	0.01047120418848167	center	11	decision_screen	right	phase_transition
60.131	2.017	2	80-0.45-0.64	49442213540	332824271311	122	61	25	no	incorrect	0.8092259	(0,3)(8,2.5)(0,6)(5,6)(7.5,5.5)(4.5,0.5)	NA	4	yes	high	226	5	191	136	1	0.01047120418848167	center	2	response_screen	right	phase_transition
60.938	0	2	80-0.45-0.64	49442213540	332824271311	122	61	25	no	incorrect	0.8092259	(0,3)(8,2.5)(0,6)(5,6)(7.5,5.5)(4.5,0.5)	NA	4	yes	high	226	5	191	136	1	0.01047120418848167	center	21	button_press	right	phase_transition
62.148	10.035	2	80-0.45-0.64	49442213540	332824271311	122	61	25	no	incorrect	0.8092259	(0,3)(8,2.5)(0,6)(5,6)(7.5,5.5)(4.5,0.5)	NA	4	yes	high	226	5	191	136	1	0.01047120418848167	center	3	inter_trial_screen	right	phase_transition
72.183	3.001	3	105-0.43-0.9	481943284130	5402222313	188	52	31	no	correct	0.4772081	(0.5,5)(6.5,2)(1,2.5)(7.5,5.5)(5,6)(4,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	center	1	items_screen	right	overconstrained
