onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.008	1	70-0.43-0.37	12734423413	342636223835	52	82	48	yes	correct	0.8348402	(6,1)(7,5)(8,2.5)(2,0.5)(0,3.5)(2.5,6)	NA	6	yes	low	135	6	142	191	6	0.16901408450704225	left	1	items_screen	right	underconstrained
3.044	22.019	1	70-0.43-0.37	12734423413	342636223835	52	82	48	yes	correct	0.8348402	(6,1)(7,5)(8,2.5)(2,0.5)(0,3.5)(2.5,6)	NA	6	yes	low	135	6	142	191	6	0.16901408450704225	left	11	decision_screen	right	underconstrained
25.063	2.017	1	70-0.43-0.37	12734423413	342636223835	52	82	48	yes	correct	0.8348402	(6,1)(7,5)(8,2.5)(2,0.5)(0,3.5)(2.5,6)	NA	6	yes	low	135	6	142	191	6	0.16901408450704225	left	2	response_screen	right	underconstrained
25.896	0	1	70-0.43-0.37	12734423413	342636223835	52	82	48	yes	correct	0.8348402	(6,1)(7,5)(8,2.5)(2,0.5)(0,3.5)(2.5,6)	NA	6	yes	low	135	6	142	191	6	0.16901408450704225	left	21	button_press	right	underconstrained
27.08	8.035	1	70-0.43-0.37	12734423413	342636223835	52	82	48	yes	correct	0.8348402	(6,1)(7,5)(8,2.5)(2,0.5)(0,3.5)(2.5,6)	NA	6	yes	low	135	6	142	191	6	0.16901408450704225	left	3	inter_trial_screen	right	underconstrained
35.115	3.004	2	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9302992	(3.5,0.5)(8,4)(0.5,4)(0.5,1.5)(6.5,1.5)(6,5)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	left	1	items_screen	right	overconstrained
38.119	22.019	2	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9302992	(3.5,0.5)(8,4)(0.5,4)(0.5,1.5)(6.5,1.5)(6,5)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	left	11	decision_screen	right	overconstrained
60.138	2.017	2	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9302992	(3.5,0.5)(8,4)(0.5,4)(0.5,1.5)(6.5,1.5)(6,5)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	left	2	response_screen	right	overconstrained
61.066	0	2	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9302992	(3.5,0.5)(8,4)(0.5,4)(0.5,1.5)(6.5,1.5)(6,5)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	left	21	button_press	right	overconstrained
62.155	10.026	2	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9302992	(3.5,0.5)(8,4)(0.5,4)(0.5,1.5)(6.5,1.5)(6,5)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	left	3	inter_trial_screen	right	overconstrained
72.181	3.002	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	1.188897	(2.5,6)(7.5,2)(0.5,3.5)(6.5,5.5)(0,1)(0,6)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	1	items_screen	left	phase_transition
75.183	22.018	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	1.188897	(2.5,6)(7.5,2)(0.5,3.5)(6.5,5.5)(0,1)(0,6)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	11	decision_screen	left	phase_transition
97.201	2.017	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	1.188897	(2.5,6)(7.5,2)(0.5,3.5)(6.5,5.5)(0,1)(0,6)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	2	response_screen	left	phase_transition
98.389	0	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	1.188897	(2.5,6)(7.5,2)(0.5,3.5)(6.5,5.5)(0,1)(0,6)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	21	button_press	left	phase_transition
99.218	8.026	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	1.188897	(2.5,6)(7.5,2)(0.5,3.5)(6.5,5.5)(0,1)(0,6)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	3	inter_trial_screen	left	phase_transition
107.244	3.003	4	145-0.41-0.86	13362523338	49394452223	118	74	39	no	correct	0.7589267	(1,1.5)(1,4.5)(7,1)(8,5.5)(5,1)(5.5,5.5)	NA	5	no	low	97	0	138	182	0	0.13768115942028986	right	1	items_screen	left	overconstrained
110.247	22.02	4	145-0.41-0.86	13362523338	49394452223	118	74	39	no	correct	0.7589267	(1,1.5)(1,4.5)(7,1)(8,5.5)(5,1)(5.5,5.5)	NA	5	no	low	97	0	138	182	0	0.13768115942028986	right	11	decision_screen	left	overconstrained
