onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.005	1	28-0.41-0.65	334917321533	28520453823	116	65	5	no	correct	0.9203187	(7.5,5.5)(3,5.5)(0,1)(8,3)(0.5,3.5)(0.5,6)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	1	items_screen	right	phase_transition
3.042	22.019	1	28-0.41-0.65	334917321533	28520453823	116	65	5	no	correct	0.9203187	(7.5,5.5)(3,5.5)(0,1)(8,3)(0.5,3.5)(0.5,6)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	11	decision_screen	right	phase_transition
25.061	2.017	1	28-0.41-0.65	334917321533	28520453823	116	65	5	no	correct	0.9203187	(7.5,5.5)(3,5.5)(0,1)(8,3)(0.5,3.5)(0.5,6)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	2	response_screen	right	phase_transition
25.98	0	1	28-0.41-0.65	334917321533	28520453823	116	65	5	no	correct	0.9203187	(7.5,5.5)(3,5.5)(0,1)(8,3)(0.5,3.5)(0.5,6)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	21	button_press	right	phase_transition
27.078	10.035	1	28-0.41-0.65	334917321533	28520453823	116	65	5	no	correct	0.9203187	(7.5,5.5)(3,5.5)(0,1)(8,3)(0.5,3.5)(0.5,6)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	3	inter_trial_screen	right	phase_transition
37.113	3.001	2	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.8740816	(0.5,4.5)(7.5,3.5)(2,1)(8,1)(8,6)(3.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	1	items_screen	left	underconstrained
40.114	22.019	2	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.8740816	(0.5,4.5)(7.5,3.5)(2,1)(8,1)(8,6)(3.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	11	decision_screen	left	underconstrained
62.133	2.017	2	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.8740816	(0.5,4.5)(7.5,3.5)(2,1)(8,1)(8,6)(3.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	2	response_screen	left	underconstrained
63.005	0	2	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.8740816	(0.5,4.5)(7.5,3.5)(2,1)(8,1)(8,6)(3.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	21	button_press	left	underconstrained
64.15	8.035	2	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.8740816	(0.5,4.5)(7.5,3.5)(2,1)(8,1)(8,6)(3.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	3	inter_trial_screen	left	underconstrained
72.185	3.001	3	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.8883464	(5,6)(2.5,0.5)(0,5.5)(5.5,0.5)(8,2)(7.5,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	1	items_screen	right	phase_transition
75.186	22.019	3	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.8883464	(5,6)(2.5,0.5)(0,5.5)(5.5,0.5)(8,2)(7.5,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	11	decision_screen	right	phase_transition
97.205	2.018	3	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.8883464	(5,6)(2.5,0.5)(0,5.5)(5.5,0.5)(8,2)(7.5,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	2	response_screen	right	phase_transition
98.091	0	3	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.8883464	(5,6)(2.5,0.5)(0,5.5)(5.5,0.5)(8,2)(7.5,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	21	button_press	right	phase_transition
99.223	8.034	3	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.8883464	(5,6)(2.5,0.5)(0,5.5)(5.5,0.5)(8,2)(7.5,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	3	inter_trial_screen	right	phase_transition
107.257	3.001	4	0-0.43-0.39	86345716	2913843623	33	60	53	yes	correct	0.6744936	(1,4.5)(6.5,4.5)(5,1)(0.5,1.5)(3.5,6)(8,2.5)	NA	6	yes	low	135	5	85	140	5	0.29411764705882354	right	1	items_screen	left	underconstrained
110.258	22.019	4	0-0.43-0.39	86345716	2913843623	33	60	53	yes	correct	0.6744936	(1,4.5)(6.5,4.5)(5,1)(0.5,1.5)(3.5,6)(8,2.5)	NA	6	yes	low	135	5	85	140	5	0.29411764705882354	right	11	decision_screen	left	underconstrained
