onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.003	1	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.9506215	(8,5)(1.5,1)(5.5,6)(1,3.5)(1,6)(8,1)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	1	items_screen	right	underconstrained
3.04	22.02	1	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.9506215	(8,5)(1.5,1)(5.5,6)(1,3.5)(1,6)(8,1)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	11	decision_screen	right	underconstrained
25.06	2.016	1	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.9506215	(8,5)(1.5,1)(5.5,6)(1,3.5)(1,6)(8,1)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	2	response_screen	right	underconstrained
26.008	0	1	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.9506215	(8,5)(1.5,1)(5.5,6)(1,3.5)(1,6)(8,1)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	21	button_press	right	underconstrained
27.076	10.035	1	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.9506215	(8,5)(1.5,1)(5.5,6)(1,3.5)(1,6)(8,1)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	3	inter_trial_screen	right	underconstrained
37.111	3.001	2	88-0.42-0.65	271946113713	254417393023	99	74	23	yes	correct	1.175267	(2.5,6)(7,2.5)(0.5,1)(5.5,6)(0,3.5)(7.5,5)	NA	4	yes	high	230	4	153	178	1	0.0718954248366013	left	1	items_screen	left	phase_transition
40.112	22.019	2	88-0.42-0.65	271946113713	254417393023	99	74	23	yes	correct	1.175267	(2.5,6)(7,2.5)(0.5,1)(5.5,6)(0,3.5)(7.5,5)	NA	4	yes	high	230	4	153	178	1	0.0718954248366013	left	11	decision_screen	left	phase_transition
62.131	2.018	2	88-0.42-0.65	271946113713	254417393023	99	74	23	yes	correct	1.175267	(2.5,6)(7,2.5)(0.5,1)(5.5,6)(0,3.5)(7.5,5)	NA	4	yes	high	230	4	153	178	1	0.0718954248366013	left	2	response_screen	left	phase_transition
63.305	0	2	88-0.42-0.65	271946113713	254417393023	99	74	23	yes	correct	1.175267	(2.5,6)(7,2.5)(0.5,1)(5.5,6)(0,3.5)(7.5,5)	NA	4	yes	high	230	4	153	178	1	0.0718954248366013	left	21	button_press	left	phase_transition
64.149	8.035	2	88-0.42-0.65	271946113713	254417393023	99	74	23	yes	correct	1.175267	(2.5,6)(7,2.5)(0.5,1)(5.5,6)(0,3.5)(7.5,5)	NA	4	yes	high	230	4	153	178	1	0.0718954248366013	left	3	inter_trial_screen	left	phase_transition
72.184	3.001	3	18-0.45-0.62	213735491826	28441061727	115	59	18	no	correct	0.9791368	(8,4)(0,5)(0,1.5)(5.5,0.5)(8,1)(5,6)	NA	3	no	high	315	2	186	132	0	0.02688172043010752	right	1	items_screen	left	phase_transition
75.185	22.02	3	18-0.45-0.62	213735491826	28441061727	115	59	18	no	correct	0.9791368	(8,4)(0,5)(0,1.5)(5.5,0.5)(8,1)(5,6)	NA	3	no	high	315	2	186	132	0	0.02688172043010752	right	11	decision_screen	left	phase_transition
97.205	2.017	3	18-0.45-0.62	213735491826	28441061727	115	59	18	no	correct	0.9791368	(8,4)(0,5)(0,1.5)(5.5,0.5)(8,1)(5,6)	NA	3	no	high	315	2	186	132	0	0.02688172043010752	right	2	response_screen	left	phase_transition
98.182	0	3	18-0.45-0.62	213735491826	28441061727	115	59	18	no	correct	0.9791368	(8,4)(0,5)(0,1.5)(5.5,0.5)(8,1)(5,6)	NA	3	no	high	315	2	186	132	0	0.02688172043010752	right	21	button_press	left	phase_transition
99.222	8.035	3	18-0.45-0.62	213735491826	28441061727	115	59	18	no	correct	0.9791368	(8,4)(0,5)(0,1.5)(5.5,0.5)(8,1)(5,6)	NA	3	no	high	315	2	186	132	0	0.02688172043010752	right	3	inter_trial_screen	left	phase_transition
107.257	3.001	4	144-0.41-0.61	474039442311	29819414032	124	69	9	yes	correct	1.032391	(1,3.5)(7,1)(7,5.5)(1.5,6)(4,6)(1,1)	NA	2	yes	high	139	3	204	169	1	0.00980392156862745	right	1	items_screen	right	phase_transition
110.258	22.019	4	144-0.41-0.61	474039442311	29819414032	124	69	9	yes	correct	1.032391	(1,3.5)(7,1)(7,5.5)(1.5,6)(4,6)(1,1)	NA	2	yes	high	139	3	204	169	1	0.00980392156862745	right	11	decision_screen	right	phase_transition
