onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.005	1	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.898838	(8,4)(0.5,1.5)(0,4.5)(7.5,0.5)(2.5,6)(5.5,6)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	1	items_screen	right	overconstrained
3.042	22.019	1	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.898838	(8,4)(0.5,1.5)(0,4.5)(7.5,0.5)(2.5,6)(5.5,6)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	11	decision_screen	right	overconstrained
25.061	2.017	1	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.898838	(8,4)(0.5,1.5)(0,4.5)(7.5,0.5)(2.5,6)(5.5,6)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	2	response_screen	right	overconstrained
25.958	0	1	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.898838	(8,4)(0.5,1.5)(0,4.5)(7.5,0.5)(2.5,6)(5.5,6)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	21	button_press	right	overconstrained
27.078	10.035	1	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.898838	(8,4)(0.5,1.5)(0,4.5)(7.5,0.5)(2.5,6)(5.5,6)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	3	inter_trial_screen	right	overconstrained
37.113	3	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.6582826	(1,5)(7.5,3)(7.5,5.5)(1.5,2.5)(5,6)(4.5,0.5)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	right	1	items_screen	right	underconstrained
40.113	22.02	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.6582826	(1,5)(7.5,3)(7.5,5.5)(1.5,2.5)(5,6)(4.5,0.5)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	right	11	decision_screen	right	underconstrained
62.133	2.017	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.6582826	(1,5)(7.5,3)(7.5,5.5)(1.5,2.5)(5,6)(4.5,0.5)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	right	2	response_screen	right	underconstrained
62.789	0	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.6582826	(1,5)(7.5,3)(7.5,5.5)(1.5,2.5)(5,6)(4.5,0.5)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	right	21	button_press	right	underconstrained
64.15	8.035	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.6582826	(1,5)(7.5,3)(7.5,5.5)(1.5,2.5)(5,6)(4.5,0.5)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	right	3	inter_trial_screen	right	underconstrained
72.185	3.005	3	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.911495	(7.5,5.5)(1,4)(5.5,6)(8,3)(7.5,0.5)(0,1.5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	right	1	items_screen	right	phase_transition
75.19	22.019	3	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.911495	(7.5,5.5)(1,4)(5.5,6)(8,3)(7.5,0.5)(0,1.5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	right	11	decision_screen	right	phase_transition
97.209	2.017	3	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.911495	(7.5,5.5)(1,4)(5.5,6)(8,3)(7.5,0.5)(0,1.5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	right	2	response_screen	right	phase_transition
98.119	0	3	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.911495	(7.5,5.5)(1,4)(5.5,6)(8,3)(7.5,0.5)(0,1.5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	right	21	button_press	right	phase_transition
99.226	8.035	3	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.911495	(7.5,5.5)(1,4)(5.5,6)(8,3)(7.5,0.5)(0,1.5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	right	3	inter_trial_screen	right	phase_transition
107.261	3.004	4	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	1.492764	(0,0.5)(6.5,6)(8,1)(1.5,4.5)(4.5,6)(7,3.5)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	1	items_screen	left	phase_transition
110.265	22.019	4	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	1.492764	(0,0.5)(6.5,6)(8,1)(1.5,4.5)(4.5,6)(7,3.5)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	11	decision_screen	left	phase_transition
132.284	2.017	4	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	1.492764	(0,0.5)(6.5,6)(8,1)(1.5,4.5)(4.5,6)(7,3.5)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	2	response_screen	left	phase_transition
133.775	0	4	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	1.492764	(0,0.5)(6.5,6)(8,1)(1.5,4.5)(4.5,6)(7,3.5)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	21	button_press	left	phase_transition
134.301	8.036	4	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	1.492764	(0,0.5)(6.5,6)(8,1)(1.5,4.5)(4.5,6)(7,3.5)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	3	inter_trial_screen	left	phase_transition
142.337	3	5	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6248624	(4,0.5)(8,3)(0.5,5)(0.5,2)(5.5,5.5)(6,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	1	items_screen	right	underconstrained
145.337	22.019	5	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6248624	(4,0.5)(8,3)(0.5,5)(0.5,2)(5.5,5.5)(6,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	11	decision_screen	right	underconstrained
167.356	2.017	5	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6248624	(4,0.5)(8,3)(0.5,5)(0.5,2)(5.5,5.5)(6,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	2	response_screen	right	underconstrained
167.98	0	5	209-0.41-0.36	174511293422	5324935919	56	61	55	yes	correct	0.6248624	(4,0.5)(8,3)(0.5,5)(0.5,2)(5.5,5.5)(6,1)	NA	6	yes	low	136	8	158	149	11	0.2848101265822785	right	21	button_press	right	underconstrained
