onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.01	1	93-0.44-0.63	1494051024	492527381319	64	75	11	yes	correct	0.9469017	(7,4)(7.5,1)(0.5,5.5)(1.5,3.5)(5,0.5)(1,1)	NA	2	yes	high	141	4	102	171	3	0.09803921568627452	left	1	items_screen	right	phase_transition
3.046	22.019	1	93-0.44-0.63	1494051024	492527381319	64	75	11	yes	correct	0.9469017	(7,4)(7.5,1)(0.5,5.5)(1.5,3.5)(5,0.5)(1,1)	NA	2	yes	high	141	4	102	171	3	0.09803921568627452	left	11	decision_screen	right	phase_transition
25.065	2.017	1	93-0.44-0.63	1494051024	492527381319	64	75	11	yes	correct	0.9469017	(7,4)(7.5,1)(0.5,5.5)(1.5,3.5)(5,0.5)(1,1)	NA	2	yes	high	141	4	102	171	3	0.09803921568627452	left	2	response_screen	right	phase_transition
26.011	0	1	93-0.44-0.63	1494051024	492527381319	64	75	11	yes	correct	0.9469017	(7,4)(7.5,1)(0.5,5.5)(1.5,3.5)(5,0.5)(1,1)	NA	2	yes	high	141	4	102	171	3	0.09803921568627452	left	21	button_press	right	phase_transition
27.082	12.035	1	93-0.44-0.63	1494051024	492527381319	64	75	11	yes	correct	0.9469017	(7,4)(7.5,1)(0.5,5.5)(1.5,3.5)(5,0.5)(1,1)	NA	2	yes	high	141	4	102	171	3	0.09803921568627452	left	3	inter_trial_screen	right	phase_transition
39.117	3.002	2	0-0.43-0.39	86345716	2913843623	33	60	53	no	incorrect	1.733564	(7.5,3.5)(1,5.5)(5.5,1)(0.5,3)(6,6)(8,1)	NA	6	yes	low	135	5	85	140	5	0.29411764705882354	left	1	items_screen	right	underconstrained
42.119	22.018	2	0-0.43-0.39	86345716	2913843623	33	60	53	no	incorrect	1.733564	(7.5,3.5)(1,5.5)(5.5,1)(0.5,3)(6,6)(8,1)	NA	6	yes	low	135	5	85	140	5	0.29411764705882354	left	11	decision_screen	right	underconstrained
64.137	2.017	2	0-0.43-0.39	86345716	2913843623	33	60	53	no	incorrect	1.733564	(7.5,3.5)(1,5.5)(5.5,1)(0.5,3)(6,6)(8,1)	NA	6	yes	low	135	5	85	140	5	0.29411764705882354	left	2	response_screen	right	underconstrained
65.869	0	2	0-0.43-0.39	86345716	2913843623	33	60	53	no	incorrect	1.733564	(7.5,3.5)(1,5.5)(5.5,1)(0.5,3)(6,6)(8,1)	NA	6	yes	low	135	5	85	140	5	0.29411764705882354	left	21	button_press	right	underconstrained
66.154	8.037	2	0-0.43-0.39	86345716	2913843623	33	60	53	no	incorrect	1.733564	(7.5,3.5)(1,5.5)(5.5,1)(0.5,3)(6,6)(8,1)	NA	6	yes	low	135	5	85	140	5	0.29411764705882354	left	3	inter_trial_screen	right	underconstrained
74.191	3.001	3	4-0.43-0.9	1613342522	18423043331	82	71	38	yes	incorrect	0.7209281	(7.5,4.5)(1,1.5)(0.5,5.5)(7,1.5)(5.5,6)(4.5,0.5)	NA	5	no	low	97	0	92	167	0	0.10869565217391304	center	1	items_screen	left	overconstrained
