onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.01	1	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.8676597	(0,4)(7,3)(1,1)(2,6)(5,0.5)(7.5,5.5)	NA	5	no	low	97	0	128	83	0	0.3984375	left	1	items_screen	right	overconstrained
3.046	22.019	1	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.8676597	(0,4)(7,3)(1,1)(2,6)(5,0.5)(7.5,5.5)	NA	5	no	low	97	0	128	83	0	0.3984375	left	11	decision_screen	right	overconstrained
25.065	2.017	1	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.8676597	(0,4)(7,3)(1,1)(2,6)(5,0.5)(7.5,5.5)	NA	5	no	low	97	0	128	83	0	0.3984375	left	2	response_screen	right	overconstrained
25.931	0	1	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.8676597	(0,4)(7,3)(1,1)(2,6)(5,0.5)(7.5,5.5)	NA	5	no	low	97	0	128	83	0	0.3984375	left	21	button_press	right	overconstrained
27.082	8.035	1	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.8676597	(0,4)(7,3)(1,1)(2,6)(5,0.5)(7.5,5.5)	NA	5	no	low	97	0	128	83	0	0.3984375	left	3	inter_trial_screen	right	overconstrained
35.117	3.003	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	1.210025	(7,2.5)(1,3)(2.5,6)(6.5,5)(0.5,1)(0,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	left	1	items_screen	left	phase_transition
38.12	22.019	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	1.210025	(7,2.5)(1,3)(2.5,6)(6.5,5)(0.5,1)(0,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	left	11	decision_screen	left	phase_transition
60.139	2.017	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	1.210025	(7,2.5)(1,3)(2.5,6)(6.5,5)(0.5,1)(0,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	left	2	response_screen	left	phase_transition
61.347	0	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	1.210025	(7,2.5)(1,3)(2.5,6)(6.5,5)(0.5,1)(0,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	left	21	button_press	left	phase_transition
62.156	10.034	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	1.210025	(7,2.5)(1,3)(2.5,6)(6.5,5)(0.5,1)(0,5.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	left	3	inter_trial_screen	left	phase_transition
72.19	3.001	3	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	1.699903	(8,2)(6.5,6)(0.5,5)(0.5,1)(3.5,6)(6,1.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	1	items_screen	left	underconstrained
75.191	22.019	3	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	1.699903	(8,2)(6.5,6)(0.5,5)(0.5,1)(3.5,6)(6,1.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	11	decision_screen	left	underconstrained
