onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.009	1	156-0.43-0.65	4412119238	4232244715	75	57	26	yes	correct	1.112204	(0,2.5)(1.5,4)(8,5)(3,0.5)(8,1.5)(6,5)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	left	1	items_screen	left	phase_transition
3.045	22.019	1	156-0.43-0.65	4412119238	4232244715	75	57	26	yes	correct	1.112204	(0,2.5)(1.5,4)(8,5)(3,0.5)(8,1.5)(6,5)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	left	11	decision_screen	left	phase_transition
25.064	2.018	1	156-0.43-0.65	4412119238	4232244715	75	57	26	yes	correct	1.112204	(0,2.5)(1.5,4)(8,5)(3,0.5)(8,1.5)(6,5)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	left	2	response_screen	left	phase_transition
26.175	0	1	156-0.43-0.65	4412119238	4232244715	75	57	26	yes	correct	1.112204	(0,2.5)(1.5,4)(8,5)(3,0.5)(8,1.5)(6,5)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	left	21	button_press	left	phase_transition
27.082	12.035	1	156-0.43-0.65	4412119238	4232244715	75	57	26	yes	correct	1.112204	(0,2.5)(1.5,4)(8,5)(3,0.5)(8,1.5)(6,5)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	left	3	inter_trial_screen	left	phase_transition
39.117	3.001	2	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.7535845	(7,1.5)(1,4.5)(0,2)(4.5,6)(3.5,0.5)(7.5,5)	NA	5	no	low	97	0	128	83	0	0.3984375	right	1	items_screen	right	overconstrained
42.118	22.019	2	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.7535845	(7,1.5)(1,4.5)(0,2)(4.5,6)(3.5,0.5)(7.5,5)	NA	5	no	low	97	0	128	83	0	0.3984375	right	11	decision_screen	right	overconstrained
64.137	2.017	2	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.7535845	(7,1.5)(1,4.5)(0,2)(4.5,6)(3.5,0.5)(7.5,5)	NA	5	no	low	97	0	128	83	0	0.3984375	right	2	response_screen	right	overconstrained
64.889	0	2	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.7535845	(7,1.5)(1,4.5)(0,2)(4.5,6)(3.5,0.5)(7.5,5)	NA	5	no	low	97	0	128	83	0	0.3984375	right	21	button_press	right	overconstrained
66.154	8.035	2	190-0.41-0.89	3581919245	7151811230	113	34	36	no	correct	0.7535845	(7,1.5)(1,4.5)(0,2)(4.5,6)(3.5,0.5)(7.5,5)	NA	5	no	low	97	0	128	83	0	0.3984375	right	3	inter_trial_screen	right	overconstrained
74.189	3.001	3	227-0.45-0.38	47764254	13415432943	35	74	46	yes	correct	0.8463665	(1,3)(7.5,2)(5.5,5.5)(8,5)(0,1)(2,6)	NA	6	yes	low	138	6	93	165	13	0.4731182795698925	left	1	items_screen	left	underconstrained
77.19	22.019	3	227-0.45-0.38	47764254	13415432943	35	74	46	yes	correct	0.8463665	(1,3)(7.5,2)(5.5,5.5)(8,5)(0,1)(2,6)	NA	6	yes	low	138	6	93	165	13	0.4731182795698925	left	11	decision_screen	left	underconstrained
99.209	2.018	3	227-0.45-0.38	47764254	13415432943	35	74	46	yes	correct	0.8463665	(1,3)(7.5,2)(5.5,5.5)(8,5)(0,1)(2,6)	NA	6	yes	low	138	6	93	165	13	0.4731182795698925	left	2	response_screen	left	underconstrained
100.054	0	3	227-0.45-0.38	47764254	13415432943	35	74	46	yes	correct	0.8463665	(1,3)(7.5,2)(5.5,5.5)(8,5)(0,1)(2,6)	NA	6	yes	low	138	6	93	165	13	0.4731182795698925	left	21	button_press	left	underconstrained
101.227	8.035	3	227-0.45-0.38	47764254	13415432943	35	74	46	yes	correct	0.8463665	(1,3)(7.5,2)(5.5,5.5)(8,5)(0,1)(2,6)	NA	6	yes	low	138	6	93	165	13	0.4731182795698925	left	3	inter_trial_screen	left	underconstrained
109.262	3.001	4	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	1.002683	(8,3.5)(0.5,3.5)(1.5,1)(3.5,6)(6.5,1.5)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	1	items_screen	right	underconstrained
112.263	22.019	4	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	1.002683	(8,3.5)(0.5,3.5)(1.5,1)(3.5,6)(6.5,1.5)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	11	decision_screen	right	underconstrained
134.282	2.017	4	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	1.002683	(8,3.5)(0.5,3.5)(1.5,1)(3.5,6)(6.5,1.5)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	2	response_screen	right	underconstrained
135.283	0	4	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	1.002683	(8,3.5)(0.5,3.5)(1.5,1)(3.5,6)(6.5,1.5)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	21	button_press	right	underconstrained
136.299	10.026	4	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	1.002683	(8,3.5)(0.5,3.5)(1.5,1)(3.5,6)(6.5,1.5)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	3	inter_trial_screen	right	underconstrained
146.325	3.001	5	105-0.43-0.9	481943284130	5402222313	188	52	31	yes	incorrect	0.9754845	(1.5,4.5)(8,1.5)(6.5,6)(0,2)(2,1)(5,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	right	1	items_screen	left	overconstrained
149.326	22.019	5	105-0.43-0.9	481943284130	5402222313	188	52	31	yes	incorrect	0.9754845	(1.5,4.5)(8,1.5)(6.5,6)(0,2)(2,1)(5,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	right	11	decision_screen	left	overconstrained
171.345	2.018	5	105-0.43-0.9	481943284130	5402222313	188	52	31	yes	incorrect	0.9754845	(1.5,4.5)(8,1.5)(6.5,6)(0,2)(2,1)(5,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	right	2	response_screen	left	overconstrained
