onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.004	1	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.6667945	(1.5,5)(8,2.5)(8,5.5)(0,1.5)(3.5,0.5)(3.5,6)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	center	1	items_screen	left	underconstrained
3.041	22.019	1	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.6667945	(1.5,5)(8,2.5)(8,5.5)(0,1.5)(3.5,0.5)(3.5,6)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	center	11	decision_screen	left	underconstrained
25.06	2.017	1	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.6667945	(1.5,5)(8,2.5)(8,5.5)(0,1.5)(3.5,0.5)(3.5,6)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	center	2	response_screen	left	underconstrained
25.725	0	1	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.6667945	(1.5,5)(8,2.5)(8,5.5)(0,1.5)(3.5,0.5)(3.5,6)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	center	21	button_press	left	underconstrained
27.077	8.026	1	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.6667945	(1.5,5)(8,2.5)(8,5.5)(0,1.5)(3.5,0.5)(3.5,6)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	center	3	inter_trial_screen	left	underconstrained
35.103	3.001	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.9161627	(7.5,3)(0.5,3)(6,5.5)(8,5.5)(3.5,5.5)(0.5,5.5)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	center	1	items_screen	left	phase_transition
38.104	22.019	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.9161627	(7.5,3)(0.5,3)(6,5.5)(8,5.5)(3.5,5.5)(0.5,5.5)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	center	11	decision_screen	left	phase_transition
60.123	2.017	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.9161627	(7.5,3)(0.5,3)(6,5.5)(8,5.5)(3.5,5.5)(0.5,5.5)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	center	2	response_screen	left	phase_transition
61.037	0	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.9161627	(7.5,3)(0.5,3)(6,5.5)(8,5.5)(3.5,5.5)(0.5,5.5)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	center	21	button_press	left	phase_transition
62.14	10.035	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.9161627	(7.5,3)(0.5,3)(6,5.5)(8,5.5)(3.5,5.5)(0.5,5.5)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	center	3	inter_trial_screen	left	phase_transition
