onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.003	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.497093	(0,3.5)(1.5,1)(2,5.5)(7,4.5)(7.5,2)(4.5,6)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	right	1	items_screen	right	phase_transition
3.04	22.019	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.497093	(0,3.5)(1.5,1)(2,5.5)(7,4.5)(7.5,2)(4.5,6)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	right	11	decision_screen	right	phase_transition
25.059	2.017	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.497093	(0,3.5)(1.5,1)(2,5.5)(7,4.5)(7.5,2)(4.5,6)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	right	2	response_screen	right	phase_transition
25.554	0	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.497093	(0,3.5)(1.5,1)(2,5.5)(7,4.5)(7.5,2)(4.5,6)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	right	21	button_press	right	phase_transition
27.076	8.035	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.497093	(0,3.5)(1.5,1)(2,5.5)(7,4.5)(7.5,2)(4.5,6)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	right	3	inter_trial_screen	right	phase_transition
35.111	3.001	2	247-0.43-0.63	2591735515	372449423611	66	85	3	yes	incorrect	0.7551382	(6,5.5)(7.5,2)(1,2)(1,4.5)(5.5,1)(3.5,6)	NA	1	no	high	190	1	106	199	0	0.05660377358490566	center	1	items_screen	right	phase_transition
38.112	22.019	2	247-0.43-0.63	2591735515	372449423611	66	85	3	yes	incorrect	0.7551382	(6,5.5)(7.5,2)(1,2)(1,4.5)(5.5,1)(3.5,6)	NA	1	no	high	190	1	106	199	0	0.05660377358490566	center	11	decision_screen	right	phase_transition
60.131	2.017	2	247-0.43-0.63	2591735515	372449423611	66	85	3	yes	incorrect	0.7551382	(6,5.5)(7.5,2)(1,2)(1,4.5)(5.5,1)(3.5,6)	NA	1	no	high	190	1	106	199	0	0.05660377358490566	center	2	response_screen	right	phase_transition
60.884	0	2	247-0.43-0.63	2591735515	372449423611	66	85	3	yes	incorrect	0.7551382	(6,5.5)(7.5,2)(1,2)(1,4.5)(5.5,1)(3.5,6)	NA	1	no	high	190	1	106	199	0	0.05660377358490566	center	21	button_press	right	phase_transition
62.148	10.034	2	247-0.43-0.63	2591735515	372449423611	66	85	3	yes	incorrect	0.7551382	(6,5.5)(7.5,2)(1,2)(1,4.5)(5.5,1)(3.5,6)	NA	1	no	high	190	1	106	199	0	0.05660377358490566	center	3	inter_trial_screen	right	phase_transition
