onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.017	1	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.865626	(7,2.5)(0,2.5)(7.5,5.5)(0,5)(5,5.5)(2,0.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	1	items_screen	right	phase_transition
3.053	22.018	1	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.865626	(7,2.5)(0,2.5)(7.5,5.5)(0,5)(5,5.5)(2,0.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	11	decision_screen	right	phase_transition
25.071	2.02	1	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.865626	(7,2.5)(0,2.5)(7.5,5.5)(0,5)(5,5.5)(2,0.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	2	response_screen	right	phase_transition
25.935	0	1	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.865626	(7,2.5)(0,2.5)(7.5,5.5)(0,5)(5,5.5)(2,0.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	21	button_press	right	phase_transition
27.091	10.03	1	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.865626	(7,2.5)(0,2.5)(7.5,5.5)(0,5)(5,5.5)(2,0.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	3	inter_trial_screen	right	phase_transition
37.121	3.001	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.7027045	(1,1.5)(6.5,4.5)(2.5,5.5)(0.5,4)(6,1)(8,2)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	left	1	items_screen	left	underconstrained
40.122	22.019	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.7027045	(1,1.5)(6.5,4.5)(2.5,5.5)(0.5,4)(6,1)(8,2)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	left	11	decision_screen	left	underconstrained
62.141	2.018	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.7027045	(1,1.5)(6.5,4.5)(2.5,5.5)(0.5,4)(6,1)(8,2)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	left	2	response_screen	left	underconstrained
62.843	0	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.7027045	(1,1.5)(6.5,4.5)(2.5,5.5)(0.5,4)(6,1)(8,2)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	left	21	button_press	left	underconstrained
64.159	12.035	2	207-0.43-0.36	483844374018	363020193815	81	67	49	yes	correct	0.7027045	(1,1.5)(6.5,4.5)(2.5,5.5)(0.5,4)(6,1)(8,2)	NA	6	yes	low	138	10	225	158	9	0.08444444444444445	left	3	inter_trial_screen	left	underconstrained
76.194	3.001	3	161-0.43-0.86	49344442118	40361117377	146	63	41	yes	incorrect	0.949295	(2,5.5)(7,5)(6,0.5)(0,3.5)(1.5,1)(8,1.5)	NA	5	no	low	81	0	170	148	0	0.2058823529411765	right	1	items_screen	left	overconstrained
79.195	22.018	3	161-0.43-0.86	49344442118	40361117377	146	63	41	yes	incorrect	0.949295	(2,5.5)(7,5)(6,0.5)(0,3.5)(1.5,1)(8,1.5)	NA	5	no	low	81	0	170	148	0	0.2058823529411765	right	11	decision_screen	left	overconstrained
101.213	2.018	3	161-0.43-0.86	49344442118	40361117377	146	63	41	yes	incorrect	0.949295	(2,5.5)(7,5)(6,0.5)(0,3.5)(1.5,1)(8,1.5)	NA	5	no	low	81	0	170	148	0	0.2058823529411765	right	2	response_screen	left	overconstrained
102.161	0	3	161-0.43-0.86	49344442118	40361117377	146	63	41	yes	incorrect	0.949295	(2,5.5)(7,5)(6,0.5)(0,3.5)(1.5,1)(8,1.5)	NA	5	no	low	81	0	170	148	0	0.2058823529411765	right	21	button_press	left	overconstrained
103.231	8.034	3	161-0.43-0.86	49344442118	40361117377	146	63	41	yes	incorrect	0.949295	(2,5.5)(7,5)(6,0.5)(0,3.5)(1.5,1)(8,1.5)	NA	5	no	low	81	0	170	148	0	0.2058823529411765	right	3	inter_trial_screen	left	overconstrained
111.265	3.001	4	105-0.43-0.9	481943284130	5402222313	188	52	31	no	correct	0.7386318	(0,1)(7,3)(0,4.5)(7,5.5)(2.5,6)(3.5,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	center	1	items_screen	right	overconstrained
114.266	22.019	4	105-0.43-0.9	481943284130	5402222313	188	52	31	no	correct	0.7386318	(0,1)(7,3)(0,4.5)(7,5.5)(2.5,6)(3.5,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	center	11	decision_screen	right	overconstrained
136.285	2.017	4	105-0.43-0.9	481943284130	5402222313	188	52	31	no	correct	0.7386318	(0,1)(7,3)(0,4.5)(7,5.5)(2.5,6)(3.5,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	center	2	response_screen	right	overconstrained
137.022	0	4	105-0.43-0.9	481943284130	5402222313	188	52	31	no	correct	0.7386318	(0,1)(7,3)(0,4.5)(7,5.5)(2.5,6)(3.5,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	center	21	button_press	right	overconstrained
138.302	8.035	4	105-0.43-0.9	481943284130	5402222313	188	52	31	no	correct	0.7386318	(0,1)(7,3)(0,4.5)(7,5.5)(2.5,6)(3.5,0.5)	NA	5	no	low	110	0	209	123	0	0.18660287081339713	center	3	inter_trial_screen	right	overconstrained
146.337	3.001	5	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.8046716	(0.5,4.5)(1.5,1)(8,5)(7.5,1)(5,0.5)(4,6)	NA	2	yes	high	139	3	150	157	2	0.1	right	1	items_screen	left	phase_transition
149.338	22.019	5	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.8046716	(0.5,4.5)(1.5,1)(8,5)(7.5,1)(5,0.5)(4,6)	NA	2	yes	high	139	3	150	157	2	0.1	right	11	decision_screen	left	phase_transition
171.357	2.017	5	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.8046716	(0.5,4.5)(1.5,1)(8,5)(7.5,1)(5,0.5)(4,6)	NA	2	yes	high	139	3	150	157	2	0.1	right	2	response_screen	left	phase_transition
172.16	0	5	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.8046716	(0.5,4.5)(1.5,1)(8,5)(7.5,1)(5,0.5)(4,6)	NA	2	yes	high	139	3	150	157	2	0.1	right	21	button_press	left	phase_transition
173.374	10.026	5	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.8046716	(0.5,4.5)(1.5,1)(8,5)(7.5,1)(5,0.5)(4,6)	NA	2	yes	high	139	3	150	157	2	0.1	right	3	inter_trial_screen	left	phase_transition
183.4	3.001	6	25-0.45-0.65	48545143321	331835392222	107	76	20	no	correct	0.6267781	(8,1.5)(5,1)(7,4)(2,1)(0,3.5)(3,6)	NA	3	no	high	394	2	166	169	0	0.08433734939759036	left	1	items_screen	left	phase_transition
186.401	22.019	6	25-0.45-0.65	48545143321	331835392222	107	76	20	no	correct	0.6267781	(8,1.5)(5,1)(7,4)(2,1)(0,3.5)(3,6)	NA	3	no	high	394	2	166	169	0	0.08433734939759036	left	11	decision_screen	left	phase_transition
208.42	2.017	6	25-0.45-0.65	48545143321	331835392222	107	76	20	no	correct	0.6267781	(8,1.5)(5,1)(7,4)(2,1)(0,3.5)(3,6)	NA	3	no	high	394	2	166	169	0	0.08433734939759036	left	2	response_screen	left	phase_transition
209.045	0	6	25-0.45-0.65	48545143321	331835392222	107	76	20	no	correct	0.6267781	(8,1.5)(5,1)(7,4)(2,1)(0,3.5)(3,6)	NA	3	no	high	394	2	166	169	0	0.08433734939759036	left	21	button_press	left	phase_transition
210.437	8.035	6	25-0.45-0.65	48545143321	331835392222	107	76	20	no	correct	0.6267781	(8,1.5)(5,1)(7,4)(2,1)(0,3.5)(3,6)	NA	3	no	high	394	2	166	169	0	0.08433734939759036	left	3	inter_trial_screen	left	phase_transition
218.472	3.007	7	170-0.43-0.62	41736442349	43539362932	124	79	4	yes	incorrect	1.023849	(3.5,6)(8,4)(0.5,1)(0.5,5)(6,6)(7,2)	NA	1	no	high	178	1	200	184	0	0.12	right	1	items_screen	right	phase_transition
221.479	22.019	7	170-0.43-0.62	41736442349	43539362932	124	79	4	yes	incorrect	1.023849	(3.5,6)(8,4)(0.5,1)(0.5,5)(6,6)(7,2)	NA	1	no	high	178	1	200	184	0	0.12	right	11	decision_screen	right	phase_transition
243.498	2.018	7	170-0.43-0.62	41736442349	43539362932	124	79	4	yes	incorrect	1.023849	(3.5,6)(8,4)(0.5,1)(0.5,5)(6,6)(7,2)	NA	1	no	high	178	1	200	184	0	0.12	right	2	response_screen	right	phase_transition
244.52	0	7	170-0.43-0.62	41736442349	43539362932	124	79	4	yes	incorrect	1.023849	(3.5,6)(8,4)(0.5,1)(0.5,5)(6,6)(7,2)	NA	1	no	high	178	1	200	184	0	0.12	right	21	button_press	right	phase_transition
245.516	8.035	7	170-0.43-0.62	41736442349	43539362932	124	79	4	yes	incorrect	1.023849	(3.5,6)(8,4)(0.5,1)(0.5,5)(6,6)(7,2)	NA	1	no	high	178	1	200	184	0	0.12	right	3	inter_trial_screen	right	phase_transition
253.551	3	8	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.7168307	(0.5,1.5)(8,2)(1.5,4.5)(6.5,5)(4,6)(3,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	1	items_screen	right	underconstrained
256.551	22.02	8	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.7168307	(0.5,1.5)(8,2)(1.5,4.5)(6.5,5)(4,6)(3,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	11	decision_screen	right	underconstrained
278.571	2.017	8	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.7168307	(0.5,1.5)(8,2)(1.5,4.5)(6.5,5)(4,6)(3,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	2	response_screen	right	underconstrained
279.286	0	8	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.7168307	(0.5,1.5)(8,2)(1.5,4.5)(6.5,5)(4,6)(3,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	21	button_press	right	underconstrained
280.588	8.035	8	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.7168307	(0.5,1.5)(8,2)(1.5,4.5)(6.5,5)(4,6)(3,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	3	inter_trial_screen	right	underconstrained
288.623	0.037	8	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.7168307	(0.5,1.5)(8,2)(1.5,4.5)(6.5,5)(4,6)(3,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	4	inter_block_screen	right	underconstrained
