onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.002	1	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.6529388	(1,0.5)(1,4)(6.5,3)(7.5,5.5)(3,6)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	1	items_screen	right	phase_transition
3.039	22.019	1	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.6529388	(1,0.5)(1,4)(6.5,3)(7.5,5.5)(3,6)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	11	decision_screen	right	phase_transition
25.058	2.017	1	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.6529388	(1,0.5)(1,4)(6.5,3)(7.5,5.5)(3,6)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	2	response_screen	right	phase_transition
25.71	0	1	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.6529388	(1,0.5)(1,4)(6.5,3)(7.5,5.5)(3,6)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	21	button_press	right	phase_transition
27.075	8.035	1	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.6529388	(1,0.5)(1,4)(6.5,3)(7.5,5.5)(3,6)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	left	3	inter_trial_screen	right	phase_transition
35.11	3.001	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.5993712	(6.5,2.5)(6.5,5)(1.5,5.5)(4,6)(2,1)(0.5,3)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	left	1	items_screen	right	phase_transition
38.111	22.019	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.5993712	(6.5,2.5)(6.5,5)(1.5,5.5)(4,6)(2,1)(0.5,3)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	left	11	decision_screen	right	phase_transition
60.13	2.017	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.5993712	(6.5,2.5)(6.5,5)(1.5,5.5)(4,6)(2,1)(0.5,3)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	left	2	response_screen	right	phase_transition
60.727	0	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.5993712	(6.5,2.5)(6.5,5)(1.5,5.5)(4,6)(2,1)(0.5,3)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	left	21	button_press	right	phase_transition
62.147	10.035	2	63-0.41-0.64	1149525944	24481533318	91	57	7	no	correct	0.5993712	(6.5,2.5)(6.5,5)(1.5,5.5)(4,6)(2,1)(0.5,3)	NA	1	no	high	191	1	143	141	0	0.09090909090909093	left	3	inter_trial_screen	right	phase_transition
72.182	3.004	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.5889338	(1,5)(7,2)(1.5,1)(3.5,6)(7,4.5)(5,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	center	1	items_screen	left	phase_transition
75.186	22.02	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.5889338	(1,5)(7,2)(1.5,1)(3.5,6)(7,4.5)(5,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	center	11	decision_screen	left	phase_transition
97.206	2.018	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.5889338	(1,5)(7,2)(1.5,1)(3.5,6)(7,4.5)(5,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	center	2	response_screen	left	phase_transition
97.793	0	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.5889338	(1,5)(7,2)(1.5,1)(3.5,6)(7,4.5)(5,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	center	21	button_press	left	phase_transition
99.224	8.035	3	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.5889338	(1,5)(7,2)(1.5,1)(3.5,6)(7,4.5)(5,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	center	3	inter_trial_screen	left	phase_transition
107.259	3.001	4	129-0.45-0.9	402624432513	14356262615	153	54	40	no	correct	0.5428708	(5,6)(1.5,3.5)(3,0.5)(7,1)(7.5,3.5)(1.5,6)	NA	5	no	low	109	0	171	122	0	0.26900584795321636	left	1	items_screen	left	overconstrained
110.26	22.019	4	129-0.45-0.9	402624432513	14356262615	153	54	40	no	correct	0.5428708	(5,6)(1.5,3.5)(3,0.5)(7,1)(7.5,3.5)(1.5,6)	NA	5	no	low	109	0	171	122	0	0.26900584795321636	left	11	decision_screen	left	overconstrained
