onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.005	1	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.4434798	(1,1.5)(7,0.5)(6.5,5.5)(2.5,6)(0,5.5)(8,2.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	right	1	items_screen	left	overconstrained
3.042	22.855	1	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.4434798	(1,1.5)(7,0.5)(6.5,5.5)(2.5,6)(0,5.5)(8,2.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	right	11	decision_screen	left	overconstrained
25.897	2.017	1	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.4434798	(1,1.5)(7,0.5)(6.5,5.5)(2.5,6)(0,5.5)(8,2.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	right	2	response_screen	left	overconstrained
26.338	0	1	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.4434798	(1,1.5)(7,0.5)(6.5,5.5)(2.5,6)(0,5.5)(8,2.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	right	21	button_press	left	overconstrained
27.914	8.035	1	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.4434798	(1,1.5)(7,0.5)(6.5,5.5)(2.5,6)(0,5.5)(8,2.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	right	3	inter_trial_screen	left	overconstrained
35.949	3	2	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.4084059	(1,3.5)(6.5,5.5)(0.5,1)(7,2)(3,6)(0.5,5.5)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	left	1	items_screen	right	underconstrained
38.949	22.019	2	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.4084059	(1,3.5)(6.5,5.5)(0.5,1)(7,2)(3,6)(0.5,5.5)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	left	11	decision_screen	right	underconstrained
60.968	2.017	2	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.4084059	(1,3.5)(6.5,5.5)(0.5,1)(7,2)(3,6)(0.5,5.5)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	left	2	response_screen	right	underconstrained
61.375	0	2	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.4084059	(1,3.5)(6.5,5.5)(0.5,1)(7,2)(3,6)(0.5,5.5)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	left	21	button_press	right	underconstrained
62.985	10.035	2	71-0.42-0.37	342621334142	42764595	72	47	54	yes	correct	0.4084059	(1,3.5)(6.5,5.5)(0.5,1)(7,2)(3,6)(0.5,5.5)	NA	6	yes	low	130	9	197	114	7	0.29441624365482233	left	3	inter_trial_screen	right	underconstrained
