onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.02	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.8712053	(3,6)(7.5,4)(1.5,1.5)(7,1.5)(4.5,0.5)(1,5)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	center	1	items_screen	left	phase_transition
3.057	22.018	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.8712053	(3,6)(7.5,4)(1.5,1.5)(7,1.5)(4.5,0.5)(1,5)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	center	11	decision_screen	left	phase_transition
25.075	2.02	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.8712053	(3,6)(7.5,4)(1.5,1.5)(7,1.5)(4.5,0.5)(1,5)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	center	2	response_screen	left	phase_transition
25.945	0	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.8712053	(3,6)(7.5,4)(1.5,1.5)(7,1.5)(4.5,0.5)(1,5)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	center	21	button_press	left	phase_transition
27.095	10.03	1	109-0.45-0.61	14126361310	17143925242	77	62	10	yes	correct	0.8712053	(3,6)(7.5,4)(1.5,1.5)(7,1.5)(4.5,0.5)(1,5)	NA	2	yes	high	138	6	127	139	5	0.11023622047244094	center	3	inter_trial_screen	left	phase_transition
37.125	3.001	2	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.5864853	(1,1)(1.5,4)(7.5,4.5)(3.5,6)(8,2)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	1	items_screen	left	underconstrained
40.126	22.019	2	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.5864853	(1,1)(1.5,4)(7.5,4.5)(3.5,6)(8,2)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	11	decision_screen	left	underconstrained
62.145	2.017	2	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.5864853	(1,1)(1.5,4)(7.5,4.5)(3.5,6)(8,2)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	2	response_screen	left	underconstrained
62.73	0	2	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.5864853	(1,1)(1.5,4)(7.5,4.5)(3.5,6)(8,2)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	21	button_press	left	underconstrained
64.162	12.035	2	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.5864853	(1,1)(1.5,4)(7.5,4.5)(3.5,6)(8,2)(1,6)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	3	inter_trial_screen	left	underconstrained
76.197	3.001	3	88-0.42-0.65	271946113713	254417393023	99	74	23	yes	correct	0.7020866	(1,2)(1.5,6)(7.5,3)(4,6)(7,5.5)(6.5,1)	NA	4	yes	high	230	4	153	178	1	0.0718954248366013	right	1	items_screen	left	phase_transition
79.198	22.02	3	88-0.42-0.65	271946113713	254417393023	99	74	23	yes	correct	0.7020866	(1,2)(1.5,6)(7.5,3)(4,6)(7,5.5)(6.5,1)	NA	4	yes	high	230	4	153	178	1	0.0718954248366013	right	11	decision_screen	left	phase_transition
