onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.007	1	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9613776	(7.5,3)(8,5.5)(7.5,0.5)(0,4.5)(0.5,1.5)(5,6)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	right	1	items_screen	right	overconstrained
3.043	22.019	1	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9613776	(7.5,3)(8,5.5)(7.5,0.5)(0,4.5)(0.5,1.5)(5,6)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	right	11	decision_screen	right	overconstrained
25.062	2.017	1	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9613776	(7.5,3)(8,5.5)(7.5,0.5)(0,4.5)(0.5,1.5)(5,6)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	right	2	response_screen	right	overconstrained
26.022	0	1	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9613776	(7.5,3)(8,5.5)(7.5,0.5)(0,4.5)(0.5,1.5)(5,6)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	right	21	button_press	right	overconstrained
27.079	8.035	1	167-0.45-0.89	73546382332	6213254517	161	52	29	no	correct	0.9613776	(7.5,3)(8,5.5)(7.5,0.5)(0,4.5)(0.5,1.5)(5,6)	NA	5	no	low	110	0	181	117	0	0.20994475138121543	right	3	inter_trial_screen	right	overconstrained
35.114	3.003	2	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.7887889	(6.5,4)(6.5,1.5)(0.5,2.5)(3,1)(3,6)(0,5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	left	1	items_screen	right	phase_transition
38.117	22.019	2	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.7887889	(6.5,4)(6.5,1.5)(0.5,2.5)(3,1)(3,6)(0,5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	left	11	decision_screen	right	phase_transition
60.136	2.017	2	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.7887889	(6.5,4)(6.5,1.5)(0.5,2.5)(3,1)(3,6)(0,5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	left	2	response_screen	right	phase_transition
60.923	0	2	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.7887889	(6.5,4)(6.5,1.5)(0.5,2.5)(3,1)(3,6)(0,5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	left	21	button_press	right	phase_transition
62.153	8.035	2	234-0.44-0.65	18451853744	11354015729	108	60	2	no	correct	0.7887889	(6.5,4)(6.5,1.5)(0.5,2.5)(3,1)(3,6)(0,5)	NA	1	no	high	255	1	167	137	0	0.04790419161676647	left	3	inter_trial_screen	right	phase_transition
70.188	3.003	3	129-0.45-0.9	402624432513	14356262615	153	54	40	no	correct	0.625403	(6.5,3.5)(0.5,4)(0.5,1)(8,1)(6.5,6)(3.5,6)	NA	5	no	low	109	0	171	122	0	0.26900584795321636	left	1	items_screen	left	overconstrained
73.191	22.019	3	129-0.45-0.9	402624432513	14356262615	153	54	40	no	correct	0.625403	(6.5,3.5)(0.5,4)(0.5,1)(8,1)(6.5,6)(3.5,6)	NA	5	no	low	109	0	171	122	0	0.26900584795321636	left	11	decision_screen	left	overconstrained
95.21	2.016	3	129-0.45-0.9	402624432513	14356262615	153	54	40	no	correct	0.625403	(6.5,3.5)(0.5,4)(0.5,1)(8,1)(6.5,6)(3.5,6)	NA	5	no	low	109	0	171	122	0	0.26900584795321636	left	2	response_screen	left	overconstrained
95.833	0	3	129-0.45-0.9	402624432513	14356262615	153	54	40	no	correct	0.625403	(6.5,3.5)(0.5,4)(0.5,1)(8,1)(6.5,6)(3.5,6)	NA	5	no	low	109	0	171	122	0	0.26900584795321636	left	21	button_press	left	overconstrained
97.226	12.035	3	129-0.45-0.9	402624432513	14356262615	153	54	40	no	correct	0.625403	(6.5,3.5)(0.5,4)(0.5,1)(8,1)(6.5,6)(3.5,6)	NA	5	no	low	109	0	171	122	0	0.26900584795321636	left	3	inter_trial_screen	left	overconstrained
109.261	3.001	4	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.6366844	(7,2.5)(6.5,5)(0,3)(4.5,6)(1,6)(5,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	1	items_screen	left	underconstrained
112.262	22.019	4	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.6366844	(7,2.5)(6.5,5)(0,3)(4.5,6)(1,6)(5,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	11	decision_screen	left	underconstrained
134.281	2.017	4	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.6366844	(7,2.5)(6.5,5)(0,3)(4.5,6)(1,6)(5,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	2	response_screen	left	underconstrained
134.916	0	4	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.6366844	(7,2.5)(6.5,5)(0,3)(4.5,6)(1,6)(5,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	21	button_press	left	underconstrained
136.298	10.035	4	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.6366844	(7,2.5)(6.5,5)(0,3)(4.5,6)(1,6)(5,0.5)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	left	3	inter_trial_screen	left	underconstrained
146.333	3.002	5	80-0.45-0.64	49442213540	332824271311	122	61	25	yes	correct	1.023975	(1,1)(0.5,4.5)(6.5,5)(7,1)(2.5,6)(4.5,0.5)	NA	4	yes	high	226	5	191	136	1	0.01047120418848167	center	1	items_screen	left	phase_transition
149.335	22.019	5	80-0.45-0.64	49442213540	332824271311	122	61	25	yes	correct	1.023975	(1,1)(0.5,4.5)(6.5,5)(7,1)(2.5,6)(4.5,0.5)	NA	4	yes	high	226	5	191	136	1	0.01047120418848167	center	11	decision_screen	left	phase_transition
