onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.009	1	102-0.41-0.38	343638342432	4237552446	75	65	44	no	incorrect	0.5331974	(3,6)(7.5,1)(7.5,4)(1.5,0.5)(0,3)(0.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	1	items_screen	right	underconstrained
3.045	22.019	1	102-0.41-0.38	343638342432	4237552446	75	65	44	no	incorrect	0.5331974	(3,6)(7.5,1)(7.5,4)(1.5,0.5)(0,3)(0.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	11	decision_screen	right	underconstrained
25.064	2.017	1	102-0.41-0.38	343638342432	4237552446	75	65	44	no	incorrect	0.5331974	(3,6)(7.5,1)(7.5,4)(1.5,0.5)(0,3)(0.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	2	response_screen	right	underconstrained
25.596	0	1	102-0.41-0.38	343638342432	4237552446	75	65	44	no	incorrect	0.5331974	(3,6)(7.5,1)(7.5,4)(1.5,0.5)(0,3)(0.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	21	button_press	right	underconstrained
27.081	8.036	1	102-0.41-0.38	343638342432	4237552446	75	65	44	no	incorrect	0.5331974	(3,6)(7.5,1)(7.5,4)(1.5,0.5)(0,3)(0.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	3	inter_trial_screen	right	underconstrained
35.117	3	2	156-0.43-0.65	4412119238	4232244715	75	57	26	no	incorrect	0.7369579	(6.5,1)(3.5,0.5)(6.5,3.5)(1.5,5)(0,1.5)(5.5,6)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	center	1	items_screen	right	phase_transition
38.117	22.019	2	156-0.43-0.65	4412119238	4232244715	75	57	26	no	incorrect	0.7369579	(6.5,1)(3.5,0.5)(6.5,3.5)(1.5,5)(0,1.5)(5.5,6)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	center	11	decision_screen	right	phase_transition
60.136	2.017	2	156-0.43-0.65	4412119238	4232244715	75	57	26	no	incorrect	0.7369579	(6.5,1)(3.5,0.5)(6.5,3.5)(1.5,5)(0,1.5)(5.5,6)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	center	2	response_screen	right	phase_transition
60.871	0	2	156-0.43-0.65	4412119238	4232244715	75	57	26	no	incorrect	0.7369579	(6.5,1)(3.5,0.5)(6.5,3.5)(1.5,5)(0,1.5)(5.5,6)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	center	21	button_press	right	phase_transition
62.153	10.026	2	156-0.43-0.65	4412119238	4232244715	75	57	26	no	incorrect	0.7369579	(6.5,1)(3.5,0.5)(6.5,3.5)(1.5,5)(0,1.5)(5.5,6)	NA	4	yes	high	196	5	116	133	3	0.1206896551724138	center	3	inter_trial_screen	right	phase_transition
72.179	3.001	3	140-0.43-0.36	28214046386	42044474712	64	74	43	no	incorrect	0.4977773	(7.5,1.5)(6.5,4.5)(3,6)(1,3.5)(1.5,1)(1,6)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	1	items_screen	left	underconstrained
75.18	22.019	3	140-0.43-0.36	28214046386	42044474712	64	74	43	no	incorrect	0.4977773	(7.5,1.5)(6.5,4.5)(3,6)(1,3.5)(1.5,1)(1,6)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	11	decision_screen	left	underconstrained
