onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.003	1	28-0.41-0.65	334917321533	28520453823	116	65	5	yes	incorrect	0.5273027	(6.5,5)(2.5,0.5)(2.5,6)(6.5,1.5)(0.5,3)(0,5.5)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	1	items_screen	right	phase_transition
3.039	22.019	1	28-0.41-0.65	334917321533	28520453823	116	65	5	yes	incorrect	0.5273027	(6.5,5)(2.5,0.5)(2.5,6)(6.5,1.5)(0.5,3)(0,5.5)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	11	decision_screen	right	phase_transition
25.058	2.018	1	28-0.41-0.65	334917321533	28520453823	116	65	5	yes	incorrect	0.5273027	(6.5,5)(2.5,0.5)(2.5,6)(6.5,1.5)(0.5,3)(0,5.5)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	2	response_screen	right	phase_transition
25.584	0	1	28-0.41-0.65	334917321533	28520453823	116	65	5	yes	incorrect	0.5273027	(6.5,5)(2.5,0.5)(2.5,6)(6.5,1.5)(0.5,3)(0,5.5)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	21	button_press	right	phase_transition
27.076	8.035	1	28-0.41-0.65	334917321533	28520453823	116	65	5	yes	incorrect	0.5273027	(6.5,5)(2.5,0.5)(2.5,6)(6.5,1.5)(0.5,3)(0,5.5)	NA	1	no	high	201	1	179	159	0	0.00558659217877095	left	3	inter_trial_screen	right	phase_transition
35.111	3.002	2	102-0.41-0.38	343638342432	4237552446	75	65	44	yes	correct	0.5459764	(2,1)(0,2.5)(7,5.5)(7,2)(0.5,6)(4.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	1	items_screen	right	underconstrained
38.113	22.019	2	102-0.41-0.38	343638342432	4237552446	75	65	44	yes	correct	0.5459764	(2,1)(0,2.5)(7,5.5)(7,2)(0.5,6)(4.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	11	decision_screen	right	underconstrained
60.132	2.017	2	102-0.41-0.38	343638342432	4237552446	75	65	44	yes	correct	0.5459764	(2,1)(0,2.5)(7,5.5)(7,2)(0.5,6)(4.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	2	response_screen	right	underconstrained
60.676	0	2	102-0.41-0.38	343638342432	4237552446	75	65	44	yes	correct	0.5459764	(2,1)(0,2.5)(7,5.5)(7,2)(0.5,6)(4.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	21	button_press	right	underconstrained
62.149	10.034	2	102-0.41-0.38	343638342432	4237552446	75	65	44	yes	correct	0.5459764	(2,1)(0,2.5)(7,5.5)(7,2)(0.5,6)(4.5,6)	NA	6	yes	low	135	8	198	159	4	0.16666666666666666	right	3	inter_trial_screen	right	underconstrained
72.183	3.001	3	125-0.44-0.62	98120349	131645491814	50	68	12	yes	correct	0.8235847	(0,3.5)(6,5)(0.5,1.5)(7.5,1)(2.5,5.5)(8,3.5)	NA	2	yes	high	135	3	81	155	5	0.12345679012345678	left	1	items_screen	left	phase_transition
75.184	22.019	3	125-0.44-0.62	98120349	131645491814	50	68	12	yes	correct	0.8235847	(0,3.5)(6,5)(0.5,1.5)(7.5,1)(2.5,5.5)(8,3.5)	NA	2	yes	high	135	3	81	155	5	0.12345679012345678	left	11	decision_screen	left	phase_transition
97.203	2.017	3	125-0.44-0.62	98120349	131645491814	50	68	12	yes	correct	0.8235847	(0,3.5)(6,5)(0.5,1.5)(7.5,1)(2.5,5.5)(8,3.5)	NA	2	yes	high	135	3	81	155	5	0.12345679012345678	left	2	response_screen	left	phase_transition
98.025	0	3	125-0.44-0.62	98120349	131645491814	50	68	12	yes	correct	0.8235847	(0,3.5)(6,5)(0.5,1.5)(7.5,1)(2.5,5.5)(8,3.5)	NA	2	yes	high	135	3	81	155	5	0.12345679012345678	left	21	button_press	left	phase_transition
99.22	8.035	3	125-0.44-0.62	98120349	131645491814	50	68	12	yes	correct	0.8235847	(0,3.5)(6,5)(0.5,1.5)(7.5,1)(2.5,5.5)(8,3.5)	NA	2	yes	high	135	3	81	155	5	0.12345679012345678	left	3	inter_trial_screen	left	phase_transition
107.255	3.001	4	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	1.022916	(2,1)(6.5,5.5)(7,3)(0,5)(0,2.5)(2.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	1	items_screen	left	underconstrained
110.256	22.019	4	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	1.022916	(2,1)(6.5,5.5)(7,3)(0,5)(0,2.5)(2.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	11	decision_screen	left	underconstrained
132.275	2.018	4	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	1.022916	(2,1)(6.5,5.5)(7,3)(0,5)(0,2.5)(2.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	2	response_screen	left	underconstrained
133.296	0	4	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	1.022916	(2,1)(6.5,5.5)(7,3)(0,5)(0,2.5)(2.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	21	button_press	left	underconstrained
134.293	12.033	4	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	1.022916	(2,1)(6.5,5.5)(7,3)(0,5)(0,2.5)(2.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	3	inter_trial_screen	left	underconstrained
146.326	3.006	5	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.6727724	(7,3.5)(0,3.5)(7,1.5)(0,1)(3,6)(2,1)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	1	items_screen	right	overconstrained
149.332	22.019	5	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.6727724	(7,3.5)(0,3.5)(7,1.5)(0,1)(3,6)(2,1)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	11	decision_screen	right	overconstrained
171.351	2.017	5	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.6727724	(7,3.5)(0,3.5)(7,1.5)(0,1)(3,6)(2,1)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	2	response_screen	right	overconstrained
172.022	0	5	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.6727724	(7,3.5)(0,3.5)(7,1.5)(0,1)(3,6)(2,1)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	21	button_press	right	overconstrained
173.368	8.035	5	124-0.42-0.89	434520261213	43825164947	141	75	37	no	correct	0.6727724	(7,3.5)(0,3.5)(7,1.5)(0,1)(3,6)(2,1)	NA	5	no	low	95	0	159	179	0	0.16981132075471697	right	3	inter_trial_screen	right	overconstrained
181.403	3.001	6	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.6453195	(0,4.5)(7.5,1.5)(1,1.5)(7.5,4.5)(2,5.5)(4,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	1	items_screen	left	phase_transition
184.404	22.019	6	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.6453195	(0,4.5)(7.5,1.5)(1,1.5)(7.5,4.5)(2,5.5)(4,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	11	decision_screen	left	phase_transition
206.423	2.018	6	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.6453195	(0,4.5)(7.5,1.5)(1,1.5)(7.5,4.5)(2,5.5)(4,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	2	response_screen	left	phase_transition
207.066	0	6	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.6453195	(0,4.5)(7.5,1.5)(1,1.5)(7.5,4.5)(2,5.5)(4,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	21	button_press	left	phase_transition
208.441	8.027	6	72-0.44-0.65	2240175291	42473153940	74	89	17	no	correct	0.6453195	(0,4.5)(7.5,1.5)(1,1.5)(7.5,4.5)(2,5.5)(4,1)	NA	3	no	high	318	2	114	204	0	0.04385964912280701	right	3	inter_trial_screen	left	phase_transition
216.468	3.001	7	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.7974513	(7.5,3)(0.5,4)(3,6)(0,1)(7,5.5)(4.5,0.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	center	1	items_screen	left	overconstrained
219.469	22.019	7	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.7974513	(7.5,3)(0.5,4)(3,6)(0,1)(7,5.5)(4.5,0.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	center	11	decision_screen	left	overconstrained
241.488	2.017	7	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.7974513	(7.5,3)(0.5,4)(3,6)(0,1)(7,5.5)(4.5,0.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	center	2	response_screen	left	overconstrained
242.284	0	7	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.7974513	(7.5,3)(0.5,4)(3,6)(0,1)(7,5.5)(4.5,0.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	center	21	button_press	left	overconstrained
243.505	10.035	7	201-0.44-0.86	461818414713	33112933191	157	55	32	no	correct	0.7974513	(7.5,3)(0.5,4)(3,6)(0,1)(7,5.5)(4.5,0.5)	NA	5	no	low	83	0	183	126	0	0.2786885245901639	center	3	inter_trial_screen	left	overconstrained
253.54	3.001	8	176-0.41-0.61	7374894433	2718494089	108	61	22	no	incorrect	1.617101	(6.5,5.5)(1,6)(0.5,2)(6.5,1.5)(4,5.5)(3,0.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	center	1	items_screen	right	phase_transition
256.541	22.019	8	176-0.41-0.61	7374894433	2718494089	108	61	22	no	incorrect	1.617101	(6.5,5.5)(1,6)(0.5,2)(6.5,1.5)(4,5.5)(3,0.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	center	11	decision_screen	right	phase_transition
