onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.008	1	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.6104615	(1,2)(5.5,6)(1.5,4.5)(8,4.5)(6.5,1)(3,0.5)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	1	items_screen	left	underconstrained
3.045	22.019	1	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.6104615	(1,2)(5.5,6)(1.5,4.5)(8,4.5)(6.5,1)(3,0.5)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	11	decision_screen	left	underconstrained
25.064	2.017	1	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.6104615	(1,2)(5.5,6)(1.5,4.5)(8,4.5)(6.5,1)(3,0.5)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	2	response_screen	left	underconstrained
25.673	0	1	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.6104615	(1,2)(5.5,6)(1.5,4.5)(8,4.5)(6.5,1)(3,0.5)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	21	button_press	left	underconstrained
27.081	8.035	1	74-0.43-0.4	184438204043	3334926383	81	65	45	yes	correct	0.6104615	(1,2)(5.5,6)(1.5,4.5)(8,4.5)(6.5,1)(3,0.5)	NA	6	yes	low	135	6	203	152	10	0.2167487684729064	left	3	inter_trial_screen	left	underconstrained
35.116	3	2	98-0.41-0.63	262434471711	483443322044	100	90	6	no	correct	0.6800489	(0.5,1.5)(8,5.5)(7.5,1)(1,5.5)(3.5,6)(5.5,6)	NA	1	no	high	234	1	159	221	0	0.07547169811320754	left	1	items_screen	left	phase_transition
38.116	22.019	2	98-0.41-0.63	262434471711	483443322044	100	90	6	no	correct	0.6800489	(0.5,1.5)(8,5.5)(7.5,1)(1,5.5)(3.5,6)(5.5,6)	NA	1	no	high	234	1	159	221	0	0.07547169811320754	left	11	decision_screen	left	phase_transition
60.135	2.017	2	98-0.41-0.63	262434471711	483443322044	100	90	6	no	correct	0.6800489	(0.5,1.5)(8,5.5)(7.5,1)(1,5.5)(3.5,6)(5.5,6)	NA	1	no	high	234	1	159	221	0	0.07547169811320754	left	2	response_screen	left	phase_transition
60.813	0	2	98-0.41-0.63	262434471711	483443322044	100	90	6	no	correct	0.6800489	(0.5,1.5)(8,5.5)(7.5,1)(1,5.5)(3.5,6)(5.5,6)	NA	1	no	high	234	1	159	221	0	0.07547169811320754	left	21	button_press	left	phase_transition
62.152	10.035	2	98-0.41-0.63	262434471711	483443322044	100	90	6	no	correct	0.6800489	(0.5,1.5)(8,5.5)(7.5,1)(1,5.5)(3.5,6)(5.5,6)	NA	1	no	high	234	1	159	221	0	0.07547169811320754	left	3	inter_trial_screen	left	phase_transition
72.187	3	3	51-0.41-0.87	111535411429	27337233528	126	62	42	no	correct	0.6515278	(7,3.5)(1.5,6)(7.5,1)(0.5,2)(5,6)(7.5,6)	NA	5	no	low	84	0	145	153	0	0.2827586206896552	left	1	items_screen	left	overconstrained
75.187	22.019	3	51-0.41-0.87	111535411429	27337233528	126	62	42	no	correct	0.6515278	(7,3.5)(1.5,6)(7.5,1)(0.5,2)(5,6)(7.5,6)	NA	5	no	low	84	0	145	153	0	0.2827586206896552	left	11	decision_screen	left	overconstrained
97.206	2.017	3	51-0.41-0.87	111535411429	27337233528	126	62	42	no	correct	0.6515278	(7,3.5)(1.5,6)(7.5,1)(0.5,2)(5,6)(7.5,6)	NA	5	no	low	84	0	145	153	0	0.2827586206896552	left	2	response_screen	left	overconstrained
