onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.006	1	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.6222879	(8,5)(2,6)(7.5,1.5)(0.5,3)(6,6)(0,5.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	1	items_screen	left	underconstrained
3.042	22.02	1	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.6222879	(8,5)(2,6)(7.5,1.5)(0.5,3)(6,6)(0,5.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	11	decision_screen	left	underconstrained
25.062	2.017	1	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.6222879	(8,5)(2,6)(7.5,1.5)(0.5,3)(6,6)(0,5.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	2	response_screen	left	underconstrained
25.682	0	1	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.6222879	(8,5)(2,6)(7.5,1.5)(0.5,3)(6,6)(0,5.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	21	button_press	left	underconstrained
27.079	8.025	1	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.6222879	(8,5)(2,6)(7.5,1.5)(0.5,3)(6,6)(0,5.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	right	3	inter_trial_screen	left	underconstrained
35.104	3.001	2	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.5077851	(2,1)(7.5,3.5)(6,0.5)(2,5)(6.5,6)(0,1)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	right	1	items_screen	left	underconstrained
38.105	22.019	2	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.5077851	(2,1)(7.5,3.5)(6,0.5)(2,5)(6.5,6)(0,1)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	right	11	decision_screen	left	underconstrained
60.124	2.017	2	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.5077851	(2,1)(7.5,3.5)(6,0.5)(2,5)(6.5,6)(0,1)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	right	2	response_screen	left	underconstrained
60.63	0	2	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.5077851	(2,1)(7.5,3.5)(6,0.5)(2,5)(6.5,6)(0,1)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	right	21	button_press	left	underconstrained
62.141	8.035	2	111-0.41-0.39	26494743224	42491322384	74	68	56	yes	correct	0.5077851	(2,1)(7.5,3.5)(6,0.5)(2,5)(6.5,6)(0,1)	NA	6	yes	low	138	5	191	168	5	0.13612565445026178	right	3	inter_trial_screen	left	underconstrained
