onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.006	1	195-0.43-0.64	143424162213	381822441018	78	64	27	yes	correct	0.6855984	(0,3.5)(6.5,4.5)(8,1.5)(3.5,6)(4,0.5)(1.5,6)	NA	4	yes	high	243	3	123	150	1	0.01626016260162601	center	1	items_screen	left	phase_transition
3.043	22.019	1	195-0.43-0.64	143424162213	381822441018	78	64	27	yes	correct	0.6855984	(0,3.5)(6.5,4.5)(8,1.5)(3.5,6)(4,0.5)(1.5,6)	NA	4	yes	high	243	3	123	150	1	0.01626016260162601	center	11	decision_screen	left	phase_transition
25.062	2.017	1	195-0.43-0.64	143424162213	381822441018	78	64	27	yes	correct	0.6855984	(0,3.5)(6.5,4.5)(8,1.5)(3.5,6)(4,0.5)(1.5,6)	NA	4	yes	high	243	3	123	150	1	0.01626016260162601	center	2	response_screen	left	phase_transition
25.745	0	1	195-0.43-0.64	143424162213	381822441018	78	64	27	yes	correct	0.6855984	(0,3.5)(6.5,4.5)(8,1.5)(3.5,6)(4,0.5)(1.5,6)	NA	4	yes	high	243	3	123	150	1	0.01626016260162601	center	21	button_press	left	phase_transition
27.079	10.035	1	195-0.43-0.64	143424162213	381822441018	78	64	27	yes	correct	0.6855984	(0,3.5)(6.5,4.5)(8,1.5)(3.5,6)(4,0.5)(1.5,6)	NA	4	yes	high	243	3	123	150	1	0.01626016260162601	center	3	inter_trial_screen	left	phase_transition
37.114	3.001	2	220-0.43-0.61	48173383638	2422718209	109	43	1	yes	incorrect	1.348442	(1,5.5)(1.5,0.5)(7,6)(7,3.5)(3.5,6)(6.5,1)	NA	1	no	high	188	1	180	100	0	0.03333333333333333	left	1	items_screen	right	phase_transition
40.115	22.019	2	220-0.43-0.61	48173383638	2422718209	109	43	1	yes	incorrect	1.348442	(1,5.5)(1.5,0.5)(7,6)(7,3.5)(3.5,6)(6.5,1)	NA	1	no	high	188	1	180	100	0	0.03333333333333333	left	11	decision_screen	right	phase_transition
62.134	2.017	2	220-0.43-0.61	48173383638	2422718209	109	43	1	yes	incorrect	1.348442	(1,5.5)(1.5,0.5)(7,6)(7,3.5)(3.5,6)(6.5,1)	NA	1	no	high	188	1	180	100	0	0.03333333333333333	left	2	response_screen	right	phase_transition
63.48	0	2	220-0.43-0.61	48173383638	2422718209	109	43	1	yes	incorrect	1.348442	(1,5.5)(1.5,0.5)(7,6)(7,3.5)(3.5,6)(6.5,1)	NA	1	no	high	188	1	180	100	0	0.03333333333333333	left	21	button_press	right	phase_transition
64.151	8.034	2	220-0.43-0.61	48173383638	2422718209	109	43	1	yes	incorrect	1.348442	(1,5.5)(1.5,0.5)(7,6)(7,3.5)(3.5,6)(6.5,1)	NA	1	no	high	188	1	180	100	0	0.03333333333333333	left	3	inter_trial_screen	right	phase_transition
