onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.02	1	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.846491	(7.5,1.5)(3,6)(0.5,5.5)(0,2.5)(6.5,5)(2,1)	NA	2	yes	high	139	3	150	157	2	0.1	right	1	items_screen	right	phase_transition
3.057	22.038	1	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.846491	(7.5,1.5)(3,6)(0.5,5.5)(0,2.5)(6.5,5)(2,1)	NA	2	yes	high	139	3	150	157	2	0.1	right	11	decision_screen	right	phase_transition
25.095	2.046	1	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.846491	(7.5,1.5)(3,6)(0.5,5.5)(0,2.5)(6.5,5)(2,1)	NA	2	yes	high	139	3	150	157	2	0.1	right	2	response_screen	right	phase_transition
25.939	0	1	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.846491	(7.5,1.5)(3,6)(0.5,5.5)(0,2.5)(6.5,5)(2,1)	NA	2	yes	high	139	3	150	157	2	0.1	right	21	button_press	right	phase_transition
27.141	10.013	1	246-0.42-0.63	43317144924	231225421342	94	65	13	yes	correct	0.846491	(7.5,1.5)(3,6)(0.5,5.5)(0,2.5)(6.5,5)(2,1)	NA	2	yes	high	139	3	150	157	2	0.1	right	3	inter_trial_screen	right	phase_transition
37.154	3.003	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.8153317	(8,1.5)(0.5,1.5)(8,5)(6,6)(0.5,5.5)(3.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	1	items_screen	left	underconstrained
40.157	22.02	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.8153317	(8,1.5)(0.5,1.5)(8,5)(6,6)(0.5,5.5)(3.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	11	decision_screen	left	underconstrained
62.177	2.018	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.8153317	(8,1.5)(0.5,1.5)(8,5)(6,6)(0.5,5.5)(3.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	2	response_screen	left	underconstrained
62.99	0	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.8153317	(8,1.5)(0.5,1.5)(8,5)(6,6)(0.5,5.5)(3.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	21	button_press	left	underconstrained
64.195	12.026	2	173-0.42-0.37	342333171028	51044223524	53	58	50	yes	correct	0.8153317	(8,1.5)(0.5,1.5)(8,5)(6,6)(0.5,5.5)(3.5,6)	NA	6	yes	low	140	4	145	140	9	0.2206896551724138	right	3	inter_trial_screen	left	underconstrained
76.221	3	3	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.851027	(8,1)(6.5,5.5)(0.5,1)(0.5,5)(7,3)(3,5.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	1	items_screen	right	phase_transition
79.221	22.019	3	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.851027	(8,1)(6.5,5.5)(0.5,1)(0.5,5)(7,3)(3,5.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	11	decision_screen	right	phase_transition
101.24	2.017	3	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.851027	(8,1)(6.5,5.5)(0.5,1)(0.5,5)(7,3)(3,5.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	2	response_screen	right	phase_transition
102.089	0	3	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.851027	(8,1)(6.5,5.5)(0.5,1)(0.5,5)(7,3)(3,5.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	21	button_press	right	phase_transition
103.257	8.034	3	176-0.41-0.61	7374894433	2718494089	108	61	22	yes	correct	0.851027	(8,1)(6.5,5.5)(0.5,1)(0.5,5)(7,3)(3,5.5)	NA	4	yes	high	237	5	178	151	1	0.03370786516853932	right	3	inter_trial_screen	right	phase_transition
111.291	3.001	4	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.8379526	(0,3.5)(7,4)(4.5,6)(6.5,1)(2,5.5)(0,1.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	left	1	items_screen	right	underconstrained
114.292	22.019	4	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.8379526	(0,3.5)(7,4)(4.5,6)(6.5,1)(2,5.5)(0,1.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	left	11	decision_screen	right	underconstrained
136.311	2.017	4	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.8379526	(0,3.5)(7,4)(4.5,6)(6.5,1)(2,5.5)(0,1.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	left	2	response_screen	right	underconstrained
137.147	0	4	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.8379526	(0,3.5)(7,4)(4.5,6)(6.5,1)(2,5.5)(0,1.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	left	21	button_press	right	underconstrained
138.328	8.026	4	140-0.43-0.36	28214046386	42044474712	64	74	43	yes	correct	0.8379526	(0,3.5)(7,4)(4.5,6)(6.5,1)(2,5.5)(0,1.5)	NA	6	yes	low	136	5	179	174	10	0.17318435754189945	left	3	inter_trial_screen	right	underconstrained
