onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.036	3.01	1	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.7342286	(2,5.5)(6.5,5)(7.5,1)(0.5,1)(0,3.5)(4.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	1	items_screen	right	underconstrained
3.046	22.019	1	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.7342286	(2,5.5)(6.5,5)(7.5,1)(0.5,1)(0,3.5)(4.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	11	decision_screen	right	underconstrained
25.065	2.018	1	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.7342286	(2,5.5)(6.5,5)(7.5,1)(0.5,1)(0,3.5)(4.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	2	response_screen	right	underconstrained
25.798	0	1	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.7342286	(2,5.5)(6.5,5)(7.5,1)(0.5,1)(0,3.5)(4.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	21	button_press	right	underconstrained
27.083	10.034	1	178-0.41-0.4	302827381219	62518182011	61	40	47	yes	correct	0.7342286	(2,5.5)(6.5,5)(7.5,1)(0.5,1)(0,3.5)(4.5,6)	NA	6	yes	low	230	6	154	98	5	0.16883116883116883	left	3	inter_trial_screen	right	underconstrained
37.117	3.008	2	38-0.45-0.62	21183533538	1388391437	93	61	14	yes	correct	0.7506493	(0.5,2.5)(3,6)(8,2.5)(4,1)(0.5,6)(6,5.5)	NA	2	yes	high	139	3	150	137	5	0.24	left	1	items_screen	left	phase_transition
40.125	22.019	2	38-0.45-0.62	21183533538	1388391437	93	61	14	yes	correct	0.7506493	(0.5,2.5)(3,6)(8,2.5)(4,1)(0.5,6)(6,5.5)	NA	2	yes	high	139	3	150	137	5	0.24	left	11	decision_screen	left	phase_transition
62.144	2.018	2	38-0.45-0.62	21183533538	1388391437	93	61	14	yes	correct	0.7506493	(0.5,2.5)(3,6)(8,2.5)(4,1)(0.5,6)(6,5.5)	NA	2	yes	high	139	3	150	137	5	0.24	left	2	response_screen	left	phase_transition
62.894	0	2	38-0.45-0.62	21183533538	1388391437	93	61	14	yes	correct	0.7506493	(0.5,2.5)(3,6)(8,2.5)(4,1)(0.5,6)(6,5.5)	NA	2	yes	high	139	3	150	137	5	0.24	left	21	button_press	left	phase_transition
64.162	8.026	2	38-0.45-0.62	21183533538	1388391437	93	61	14	yes	correct	0.7506493	(0.5,2.5)(3,6)(8,2.5)(4,1)(0.5,6)(6,5.5)	NA	2	yes	high	139	3	150	137	5	0.24	left	3	inter_trial_screen	left	phase_transition
72.188	3.002	3	98-0.41-0.63	262434471711	483443322044	100	90	6	no	correct	0.7197292	(1.5,4)(7.5,4.5)(7,1)(5.5,5.5)(0.5,1)(2.5,1)	NA	1	no	high	234	1	159	221	0	0.07547169811320754	right	1	items_screen	left	phase_transition
