onset	duration	trial_number	instance_id	values	weights	target_profit	target_capacity	instance_number	response_type	response_correct	response_time	xyCoordinates	error	instance_type	solution	instance_complexity	propagations_MZN	decisions_SAT	sum_values	sum_weights	nSolutions	IC_expost_lin	lat_highest_vw_ratio	eventType	trial_type	response_button	instance_region
0.037	3.006	1	4-0.43-0.9	1613342522	18423043331	82	71	38	no	correct	0.8008187	(1.5,4)(6,6)(6.5,1)(0.5,1)(4,6)(8,3.5)	NA	5	no	low	97	0	92	167	0	0.10869565217391304	right	1	items_screen	right	overconstrained
3.043	22.02	1	4-0.43-0.9	1613342522	18423043331	82	71	38	no	correct	0.8008187	(1.5,4)(6,6)(6.5,1)(0.5,1)(4,6)(8,3.5)	NA	5	no	low	97	0	92	167	0	0.10869565217391304	right	11	decision_screen	right	overconstrained
25.063	2.017	1	4-0.43-0.9	1613342522	18423043331	82	71	38	no	correct	0.8008187	(1.5,4)(6,6)(6.5,1)(0.5,1)(4,6)(8,3.5)	NA	5	no	low	97	0	92	167	0	0.10869565217391304	right	2	response_screen	right	overconstrained
25.862	0	1	4-0.43-0.9	1613342522	18423043331	82	71	38	no	correct	0.8008187	(1.5,4)(6,6)(6.5,1)(0.5,1)(4,6)(8,3.5)	NA	5	no	low	97	0	92	167	0	0.10869565217391304	right	21	button_press	right	overconstrained
27.08	8.035	1	4-0.43-0.9	1613342522	18423043331	82	71	38	no	correct	0.8008187	(1.5,4)(6,6)(6.5,1)(0.5,1)(4,6)(8,3.5)	NA	5	no	low	97	0	92	167	0	0.10869565217391304	right	3	inter_trial_screen	right	overconstrained
35.115	3.002	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.7727977	(0.5,3)(8,1)(0,5.5)(2.5,6)(0,1)(6.5,4.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	1	items_screen	left	phase_transition
38.117	22.019	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.7727977	(0.5,3)(8,1)(0,5.5)(2.5,6)(0,1)(6.5,4.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	11	decision_screen	left	phase_transition
60.136	2.018	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.7727977	(0.5,3)(8,1)(0,5.5)(2.5,6)(0,1)(6.5,4.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	2	response_screen	left	phase_transition
60.908	0	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.7727977	(0.5,3)(8,1)(0,5.5)(2.5,6)(0,1)(6.5,4.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	21	button_press	left	phase_transition
62.154	10.035	2	112-0.45-0.64	352915382947	272743294433	123	91	15	no	correct	0.7727977	(0.5,3)(8,1)(0,5.5)(2.5,6)(0,1)(6.5,4.5)	NA	3	no	high	306	3	193	203	0	0.0155440414507772	right	3	inter_trial_screen	left	phase_transition
72.189	3	3	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.8616828	(7.5,5)(1,4)(0,1)(7.5,2.5)(3,5.5)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	right	1	items_screen	left	phase_transition
75.189	22.02	3	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.8616828	(7.5,5)(1,4)(0,1)(7.5,2.5)(3,5.5)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	right	11	decision_screen	left	phase_transition
97.209	2.017	3	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.8616828	(7.5,5)(1,4)(0,1)(7.5,2.5)(3,5.5)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	right	2	response_screen	left	phase_transition
98.069	0	3	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.8616828	(7.5,5)(1,4)(0,1)(7.5,2.5)(3,5.5)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	right	21	button_press	left	phase_transition
99.226	8.026	3	172-0.45-0.63	36228161727	54732451128	79	75	28	yes	correct	0.8616828	(7.5,5)(1,4)(0,1)(7.5,2.5)(3,5.5)(0.5,6)	NA	4	yes	high	220	7	126	168	3	0.09523809523809525	right	3	inter_trial_screen	left	phase_transition
107.252	3	4	129-0.45-0.9	402624432513	14356262615	153	54	40	no	correct	0.6607152	(7,5.5)(0,2.5)(8,0.5)(1,5)(4,6)(7,3)	NA	5	no	low	109	0	171	122	0	0.26900584795321636	right	1	items_screen	left	overconstrained
